1991301,101120,101179,9.0,124.0,78.04878048780488,3.0,0.0
1991338,101098,101529,12.0,73.0,82.14285714285714,7.0,100.0
1991580,101414,100656,18.0,170.0,69.76744186046511,3.0,75.0
1991408,101334,101750,1.0,80.0,80.64516129032258,3.0,33.33333333333333
1991424,101190,100763,6.0,111.0,76.08695652173914,3.0,0.0
1991201,101133,101174,4.0,89.0,72.2222222222222,1.0,85.71428571428571
1991406,101098,101772,14.0,213.0,85.24590163934425,3.0,25.0
1991401,100656,101948,37.0,200.0,84.50704225352112,1.0,50.0
1991402,100656,101529,9.0,90.0,100.0,4.0,100.0
1991357,101222,101298,6.0,156.0,70.3125,2.0,66.66666666666666
1991411,100581,101265,19.0,117.0,80.43478260869566,2.0,50.0
1991407,101481,100656,24.0,168.0,83.01886792452831,1.0,55.555555555555564
1991404,101793,101098,20.0,210.0,77.7777777777778,3.0,33.33333333333333
1991481,101298,100757,6.0,118.0,70.3125,4.0,57.14285714285714
1991403,101793,101609,14.0,129.0,76.74418604651162,7.0,50.0
1991468,101843,101120,1.0,90.0,62.5,4.0,66.66666666666666
1991409,101736,101196,16.0,90.0,67.9245283018868,7.0,66.66666666666666
1991336,101990,100923,12.0,86.0,77.55102040816327,1.0,85.71428571428571
1991329,101222,100656,5.0,117.0,73.58490566037736,2.0,75.0
1991425,101142,101843,1.0,142.0,74.60317460317461,0.0,80.0
1991305,101073,101030,4.0,126.0,68.8888888888889,2.0,28.57142857142857
1991434,101133,101543,6.0,142.0,54.90196078431373,11.0,45.45454545454545
1991456,101733,101332,2.0,84.0,88.8888888888889,4.0,75.0
1991410,101843,101414,7.0,252.0,62.831858407079636,1.0,70.83333333333334
1991717,101191,101434,4.0,108.0,71.42857142857143,3.0,81.81818181818183
1991309,101063,101382,1.0,80.0,75.0,3.0,33.33333333333333
1991308,101320,101649,3.0,112.0,63.265306122448976,1.0,40.0
1991414,101120,101320,6.0,176.0,60.0,10.0,42.857142857142854
1991439,101432,101439,0.0,75.0,72.72727272727273,0.0,0.0
1991312,101124,100829,13.0,140.0,75.0,2.0,44.444444444444436
1991520,101793,101736,10.0,205.0,64.77272727272727,2.0,73.68421052631578
1991311,101222,101609,10.0,87.0,82.35294117647058,3.0,100.0
1991310,101404,101511,4.0,150.0,69.49152542372882,3.0,77.7777777777778
1991440,101500,100628,12.0,109.0,80.0,7.0,77.7777777777778
1991306,101391,101063,4.0,108.0,69.23076923076923,0.0,100.0
1991540,101529,101414,25.0,153.0,76.08695652173914,4.0,33.33333333333333
1991314,101142,101843,4.0,106.0,78.94736842105263,1.0,66.66666666666666
1991315,101214,101318,10.0,107.0,80.76923076923076,3.0,75.0
1991316,101320,101606,2.0,65.0,85.18518518518519,2.0,100.0
1991418,101736,101434,7.0,65.0,80.0,3.0,100.0
1991321,101529,101606,18.0,143.0,71.875,1.0,62.5
1991421,101230,101434,2.0,108.0,58.139534883720934,3.0,58.33333333333334
1991317,101320,101063,6.0,218.0,67.70833333333334,6.0,61.111111111111114
1991423,101948,100763,19.0,132.0,89.74358974358975,4.0,50.0
1991319,101120,101320,23.0,156.0,84.28571428571429,4.0,75.0
1991475,101649,101719,3.0,105.0,64.70588235294117,1.0,83.33333333333334
1991422,101098,101948,28.0,124.0,82.0,1.0,60.0
1991379,101120,101320,6.0,93.0,77.27272727272727,4.0,50.0
1991419,101948,101414,21.0,167.0,75.92592592592592,10.0,71.42857142857143
1991420,101434,101964,5.0,62.0,70.27027027027027,4.0,100.0
1991441,100656,101222,2.0,81.0,64.28571428571429,2.0,60.0
1991560,101222,101793,5.0,124.0,82.5,4.0,100.0
