1973347,Bournemouth,Bournemouth,Outdoor,1973,A,64,
1973520,Roland Garros,Paris,Outdoor,1973,G,128,
1973416,Rome Masters,Rome,Outdoor,1973,M,128,"$101,600 "
1973414,Hamburg Masters,Hamburg,Outdoor,1973,A,64,
1973316,Bastad,Bastad,Outdoor,1973,A,32,
1973661,Dusseldorf,Dusseldorf,Outdoor,1973,A,16,
1973314,Gstaad,Gstaad,Outdoor,1973,A,32,
1973706,Bretton Woods,Bretton Woods,Outdoor,1973,A,32,
1973317,Amersfoort,Hilversum,Outdoor,1973,A,32,
1973319,Kitzbuhel,Kitzbuehel,Outdoor,1973,A,32,
1973418,Washington,Washington,Outdoor,1973,A,64,"$75,000 "
1973663,Louisville,Louisville,Outdoor,1973,A,64,
1973422,Cincinnati Masters,Cincinnati,Outdoor,1973,M,32,"$50,000 "
1973717,Houston,Indianapolis,Outdoor,1973,A,64,"$90,000 "
1973425,Barcelona,Barcelona,Outdoor,1973,A,64,
1973309,Madrid Masters,Madrid,Outdoor,1973,M,64,
19732011,Tehran,Tehran,Outdoor,1973,A,64,
1973379,Prague,Prague,Outdoor,1973,A,32,
1973303,Buenos Aires,Buenos Aires,Outdoor,1973,A,32,
1974412,Atlanta,Atlanta,Outdoor,1974,A,32,
1974410,Monte Carlo Masters,Monte Carlo,Outdoor,1974,M,32,"$50,000 "
1974436,Bermuda,Charlotte,Outdoor,1974,A,32,"$50,000 "
1974820,Houston WCT,Houston,Outdoor,1974,A,32,"$50,000 "
1974652,St. Louis WCT,St. Louis,Outdoor,1974,A,32,"$50,000 "
1974310,Oporto,Florence,Outdoor,1974,A,32,
1974308,Munich,Munich,Outdoor,1974,A,32,
1974414,Hamburg Masters,Hamburg,Outdoor,1974,A,64,
1974347,Bournemouth,Bournemouth,Outdoor,1974,A,64,
1974416,Rome Masters,Rome,Outdoor,1974,M,64,"$90,000 "
1974520,Roland Garros,Paris,Outdoor,1974,G,128,
