1979713,Hobart,Hobart,Outdoor,1979,A,32,
1979311,London,London,Outdoor,1979,A,64,
1979720,Surbiton,Surbiton,Outdoor,1979,A,32,
1979540,Wimbledon,London,Outdoor,1979,G,128,
1979315,Newport,Newport,Outdoor,1979,A,32,
1979326,Singapore,Brisbane,Outdoor,1979,A,32,
19797308,Adelaide,Adelaide,Outdoor,1979,A,32,"$50,000 "
1979338,Sydney,Sydney,Outdoor,1979,A,64,
1979580,Australian Open,Melbourne,Outdoor,1979,G,64,
1980243,Perth,Perth,Outdoor,1980,A,64,"$25,000 "
1980583,Manchester,Manchester,Outdoor,1980,A,64,"$25,000 "
1980311,London,London,Outdoor,1980,A,64,
1980720,Surbiton,Surbiton,Outdoor,1980,A,32,
1980540,Wimbledon,London,Outdoor,1980,G,128,
1980315,Newport,Newport,Outdoor,1980,A,32,
1980326,Singapore,Brisbane,Outdoor,1980,A,32,
1980338,Sydney,Sydney,Outdoor,1980,A,64,
1980580,Australian Open,Melbourne,Outdoor,1980,G,64,
19817308,Adelaide,Adelaide,Outdoor,1981,A,32,
1981311,London,London,Outdoor,1981,A,64,
1981313,Bristol,Bristol,Outdoor,1981,A,32,
1981540,Wimbledon,London,Outdoor,1981,G,128,
1981315,Newport,Newport,Outdoor,1981,A,32,
1981326,Singapore,Brisbane,Outdoor,1981,A,32,
1981338,Sydney,Sydney,Outdoor,1981,A,64,
1981580,Australian Open,Melbourne,Outdoor,1981,G,64,"$400,000 "
1982393,Adelaide,Adelaide,Outdoor,1982,A,32,
1982311,London,London,Outdoor,1982,A,64,
1982313,Bristol,Bristol,Outdoor,1982,A,32,
1982540,Wimbledon,London,Outdoor,1982,G,128,
1982315,Newport,Newport,Outdoor,1982,A,32,
1982580,Australian Open,Melbourne,Outdoor,1982,G,96,
1982338,Sydney,Sydney,Outdoor,1982,A,64,
19827308,Adelaide,Adelaide,Outdoor,1982,A,32,
1982340,Melbourne,Melbourne,Outdoor,1982,A,32,
1983311,London,London,Outdoor,1983,A,64,
1983313,Bristol,Bristol,Outdoor,1983,A,32,
1983540,Wimbledon,London,Outdoor,1983,G,128,
1983315,Newport,Newport,Outdoor,1983,A,32,
1983580,Australian Open,Melbourne,Outdoor,1983,G,96,
1983338,Sydney,Sydney,Outdoor,1983,A,64,
19837308,Adelaide,Adelaide,Outdoor,1983,A,32,
1983340,Melbourne,Melbourne,Outdoor,1983,A,32,
1984311,London,London,Outdoor,1984,A,64,
1984313,Bristol,Bristol,Outdoor,1984,A,64,
1984540,Wimbledon,London,Outdoor,1984,G,128,
1984315,Newport,Newport,Outdoor,1984,A,32,
1984580,Australian Open,Melbourne,Outdoor,1984,G,96,
1984338,Sydney,Sydney,Outdoor,1984,A,64,
19847308,Adelaide,Adelaide,Outdoor,1984,A,32,
1984340,Melbourne,Melbourne,Outdoor,1984,A,32,
1985311,London,London,Outdoor,1985,A,64,
