1970314,Gstaad,Gstaad,Outdoor,1970,Clay,A,32,
1970418,Washington,Washington,Outdoor,1970,Hard,A,64,
1970422,Cincinnati Masters,Cincinnati,Outdoor,1970,Clay,M,64,"$25,000 "
1970717,Houston,Indianapolis,Outdoor,1970,Clay,A,64,"$50,000 "
1970317,Amersfoort,Hilversum,Outdoor,1970,Hard,A,64,
1970663,Louisville,Louisville,Outdoor,1970,Hard,A,16,
1970804,Munich WCT,"Munich, Germany",Outdoor,1970,Clay,A,32,
1970417,Boston,Boston,Outdoor,1970,Hard,A,32,
1970319,Kitzbuhel,Kitzbuehel,Outdoor,1970,Clay,A,64,
1970421,Canada Masters,Toronto,Outdoor,1970,Clay,M,32,"$15,000 "
1970414,Hamburg Masters,Hamburg,Outdoor,1970,Clay,A,64,
1970653,Fort Worth WCT,"Fort Worth, United States",Outdoor,1970,Hard,A,16,
19702030,Merion,Merion,Outdoor,1970,Hard,A,64,
1970707,South Orange,South Orange,Outdoor,1970,Hard,A,64,
1970560,US Open,New York,Outdoor,1970,Grass,G,128,"$137,800 "
1970423,Los Angeles,Los Angeles,Outdoor,1970,Hard,A,64,"$60,000 "
1970424,San Jose,Berkeley,Outdoor,1970,Hard,A,64,
19702048,Vancouver WCT,"Vancouver, Canada",Indoor,1970,Carpet,A,16,
1970425,Barcelona,Barcelona,Outdoor,1970,Clay,A,64,
19702067,Phoenix,Phoenix,Outdoor,1970,Hard,A,32,
1970429,Stockholm,Stockholm,Indoor,1970,Hard,A,32,
1970303,Buenos Aires,Buenos Aires,Outdoor,1970,Clay,A,32,
1970430,Antwerp,Wembley,Indoor,1970,Carpet,A,32,
1970605,Tour Finals,Tokyo,Indoor,1970,Carpet,F,6,
19717584,Munich,"Munich, Germany",Outdoor,1971,Hard,A,32,
1971713,Hobart,Hobart,Outdoor,1971,Hard,A,32,
1971338,Sydney,Sydney,Outdoor,1971,Hard,A,32,
1971802,Richmond WCT,Richmond,Indoor,1971,Hard,A,16,
1971401,Philadelphia,Philadelphia,Indoor,1971,Carpet,A,32,
19712058,New York,New York,Indoor,1971,Hard,A,32,
19712066,Macon,Macon,Outdoor,1971,Hard,A,64,
1971301,Auckland,Auckland,Outdoor,1971,Hard,A,32,
1971657,Hampton,Hampton,Indoor,1971,Hard,A,32,
1971580,Australian Open,Sydney,Outdoor,1971,Grass,G,64,
1971344,Caracas,Caracas,Outdoor,1971,Clay,A,32,
1971262,London WCT,London,Outdoor,1971,Hard,A,32,
1971305,Nice,Nice,Outdoor,1971,Hard,A,64,
1971681,Miami,Miami,Outdoor,1971,Hard,A,32,
1971410,Monte Carlo Masters,Monte Carlo,Outdoor,1971,Clay,M,32,"$20,000 "
1971436,Bermuda,Charlotte,Outdoor,1971,Hard,A,32,
1971325,Palermo,Palermo,Outdoor,1971,Clay,A,64,
19712065,Catania,Catania,Outdoor,1971,Clay,A,64,
1971820,Houston WCT,Houston,Outdoor,1971,Hard,A,32,
1971818,Chicago WCT,Chicago,Indoor,1971,Carpet,A,32,
1971388,Dallas,Dallas,Indoor,1971,Carpet,A,32,
19712010,Paris,Paris,Outdoor,1971,Clay,A,32,
1971416,Rome Masters,Rome,Outdoor,1971,Clay,M,64,"$35,400 "
19712011,Tehran,Tehran,Outdoor,1971,Clay,A,32,
1971414,Hamburg Masters,Hamburg,Outdoor,1971,Clay,A,64,
